actual,predicted
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,healthy
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,dermatitis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,dermatitis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,dermatitis
demodicosis,dermatitis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,healthy
demodicosis,ringworm
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,dermatitis
demodicosis,ringworm
demodicosis,dermatitis
demodicosis,ringworm
demodicosis,dermatitis
demodicosis,dermatitis
demodicosis,dermatitis
demodicosis,dermatitis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,dermatitis
demodicosis,dermatitis
demodicosis,dermatitis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,ringworm
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,dermatitis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,fungal_infections
demodicosis,dermatitis
demodicosis,ringworm
demodicosis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,fungal_infections
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,healthy
dermatitis,dermatitis
dermatitis,healthy
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,ringworm
dermatitis,fungal_infections
dermatitis,demodicosis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,fungal_infections
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,demodicosis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,fungal_infections
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,fungal_infections
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,healthy
dermatitis,demodicosis
dermatitis,dermatitis
fungal_infections,ringworm
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,ringworm
fungal_infections,dermatitis
fungal_infections,demodicosis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,ringworm
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,dermatitis
fungal_infections,ringworm
fungal_infections,demodicosis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,demodicosis
fungal_infections,dermatitis
fungal_infections,demodicosis
fungal_infections,ringworm
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,ringworm
fungal_infections,ringworm
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,demodicosis
fungal_infections,ringworm
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,fungal_infections
fungal_infections,demodicosis
fungal_infections,ringworm
fungal_infections,healthy
fungal_infections,demodicosis
fungal_infections,demodicosis
fungal_infections,dermatitis
fungal_infections,ringworm
fungal_infections,dermatitis
fungal_infections,ringworm
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,fungal_infections
healthy,healthy
healthy,healthy
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,healthy
healthy,demodicosis
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,healthy
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,fungal_infections
healthy,fungal_infections
healthy,healthy
healthy,fungal_infections
healthy,healthy
healthy,ringworm
healthy,healthy
healthy,healthy
healthy,demodicosis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,fungal_infections
healthy,healthy
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,demodicosis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,demodicosis
healthy,dermatitis
healthy,demodicosis
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,demodicosis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,healthy
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,fungal_infections
hypersensitivity,fungal_infections
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,demodicosis
hypersensitivity,ringworm
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,demodicosis
hypersensitivity,demodicosis
hypersensitivity,demodicosis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,demodicosis
hypersensitivity,demodicosis
hypersensitivity,demodicosis
hypersensitivity,demodicosis
hypersensitivity,demodicosis
hypersensitivity,fungal_infections
hypersensitivity,ringworm
hypersensitivity,fungal_infections
hypersensitivity,healthy
hypersensitivity,ringworm
hypersensitivity,demodicosis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,ringworm
hypersensitivity,dermatitis
hypersensitivity,demodicosis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,ringworm
hypersensitivity,demodicosis
hypersensitivity,dermatitis
ringworm,demodicosis
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,demodicosis
ringworm,demodicosis
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
ringworm,demodicosis
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
ringworm,demodicosis
ringworm,dermatitis
ringworm,dermatitis
ringworm,demodicosis
ringworm,dermatitis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,dermatitis
ringworm,ringworm
ringworm,dermatitis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,dermatitis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,fungal_infections
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,ringworm
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,demodicosis
ringworm,dermatitis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,ringworm
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,dermatitis
ringworm,demodicosis
ringworm,demodicosis
ringworm,dermatitis
ringworm,demodicosis
ringworm,demodicosis
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,healthy
ringworm,dermatitis
ringworm,demodicosis
ringworm,demodicosis
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,demodicosis
ringworm,dermatitis
ringworm,fungal_infections
ringworm,demodicosis
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,fungal_infections
ringworm,demodicosis
ringworm,dermatitis
ringworm,dermatitis
ringworm,demodicosis
ringworm,dermatitis
ringworm,ringworm
ringworm,fungal_infections
ringworm,dermatitis
ringworm,dermatitis
ringworm,ringworm
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
