actual,predicted
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,healthy
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,hypersensitivity
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,demodicosis
dermatitis,hypersensitivity
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,fungal_infections
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,fungal_infections
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,demodicosis
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,hypersensitivity
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,hypersensitivity
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,demodicosis
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,ringworm
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,demodicosis
fungal_infections,demodicosis
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,hypersensitivity
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,demodicosis
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,demodicosis
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,ringworm
fungal_infections,demodicosis
fungal_infections,demodicosis
fungal_infections,hypersensitivity
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,hypersensitivity
fungal_infections,fungal_infections
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,ringworm
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,hypersensitivity
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,fungal_infections
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,fungal_infections
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,ringworm
hypersensitivity,ringworm
hypersensitivity,ringworm
hypersensitivity,healthy
hypersensitivity,healthy
hypersensitivity,hypersensitivity
hypersensitivity,ringworm
hypersensitivity,hypersensitivity
hypersensitivity,ringworm
hypersensitivity,hypersensitivity
hypersensitivity,healthy
hypersensitivity,ringworm
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,demodicosis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,healthy
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,demodicosis
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,fungal_infections
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,healthy
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,hypersensitivity
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
