actual,predicted
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,fungal_infections
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,healthy
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,healthy
dermatitis,healthy
dermatitis,healthy
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,fungal_infections
dermatitis,fungal_infections
dermatitis,fungal_infections
dermatitis,fungal_infections
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,fungal_infections
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,fungal_infections
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,fungal_infections
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,fungal_infections
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,dermatitis
dermatitis,demodicosis
dermatitis,demodicosis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,hypersensitivity
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,ringworm
fungal_infections,demodicosis
fungal_infections,demodicosis
fungal_infections,ringworm
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,hypersensitivity
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,dermatitis
fungal_infections,fungal_infections
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,hypersensitivity
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,hypersensitivity
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,ringworm
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,demodicosis
healthy,healthy
healthy,healthy
healthy,healthy
healthy,fungal_infections
healthy,fungal_infections
healthy,fungal_infections
healthy,healthy
healthy,fungal_infections
healthy,healthy
healthy,fungal_infections
healthy,healthy
healthy,healthy
healthy,healthy
healthy,fungal_infections
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,fungal_infections
healthy,fungal_infections
healthy,healthy
healthy,healthy
healthy,hypersensitivity
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,fungal_infections
healthy,demodicosis
healthy,demodicosis
healthy,fungal_infections
healthy,fungal_infections
healthy,fungal_infections
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,fungal_infections
healthy,fungal_infections
healthy,fungal_infections
healthy,healthy
healthy,fungal_infections
healthy,fungal_infections
healthy,healthy
healthy,fungal_infections
healthy,demodicosis
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,healthy
hypersensitivity,healthy
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,demodicosis
hypersensitivity,fungal_infections
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,demodicosis
hypersensitivity,fungal_infections
hypersensitivity,healthy
hypersensitivity,fungal_infections
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,demodicosis
hypersensitivity,demodicosis
hypersensitivity,demodicosis
hypersensitivity,ringworm
hypersensitivity,demodicosis
hypersensitivity,fungal_infections
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,fungal_infections
hypersensitivity,demodicosis
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,fungal_infections
hypersensitivity,demodicosis
hypersensitivity,fungal_infections
hypersensitivity,fungal_infections
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,fungal_infections
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,demodicosis
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,demodicosis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,hypersensitivity
ringworm,ringworm
ringworm,ringworm
