actual,predicted
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,healthy
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,fungal_infections
dermatitis,fungal_infections
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,fungal_infections
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,dermatitis
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,hypersensitivity
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,ringworm
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,hypersensitivity
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,ringworm
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,healthy
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,healthy
hypersensitivity,healthy
hypersensitivity,fungal_infections
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
hypersensitivity,hypersensitivity
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
